parameterGroup,firstComponent,secondComponent,cosine
throw-head,move-initializer-anchor,power-initializer-anchor,
throw-head,throw-initializer-anchor,power-initializer-anchor,
power-head,ppo-actor,critic-value,
power-head,ppo-actor,action-bc,
power-head,ppo-actor,move-target-bc,
power-head,ppo-actor,throw-target-bc,
power-head,ppo-actor,power-bc,0.9806662797927856
power-head,ppo-actor,categorical-initializer-kl,
power-head,ppo-actor,move-initializer-anchor,
power-head,ppo-actor,throw-initializer-anchor,
power-head,ppo-actor,power-initializer-anchor,-0.8436921238899231
power-head,critic-value,action-bc,
power-head,critic-value,move-target-bc,
power-head,critic-value,throw-target-bc,
power-head,critic-value,power-bc,
power-head,critic-value,categorical-initializer-kl,
power-head,critic-value,move-initializer-anchor,
power-head,critic-value,throw-initializer-anchor,
power-head,critic-value,power-initializer-anchor,
power-head,action-bc,move-target-bc,
power-head,action-bc,throw-target-bc,
power-head,action-bc,power-bc,
power-head,action-bc,categorical-initializer-kl,
power-head,action-bc,move-initializer-anchor,
power-head,action-bc,throw-initializer-anchor,
power-head,action-bc,power-initializer-anchor,
power-head,move-target-bc,throw-target-bc,
power-head,move-target-bc,power-bc,
power-head,move-target-bc,categorical-initializer-kl,
power-head,move-target-bc,move-initializer-anchor,
power-head,move-target-bc,throw-initializer-anchor,
power-head,move-target-bc,power-initializer-anchor,
power-head,throw-target-bc,power-bc,
power-head,throw-target-bc,categorical-initializer-kl,
power-head,throw-target-bc,move-initializer-anchor,
power-head,throw-target-bc,throw-initializer-anchor,
power-head,throw-target-bc,power-initializer-anchor,
power-head,power-bc,categorical-initializer-kl,
power-head,power-bc,move-initializer-anchor,
power-head,power-bc,throw-initializer-anchor,
power-head,power-bc,power-initializer-anchor,-0.8018143773078918
power-head,categorical-initializer-kl,move-initializer-anchor,
power-head,categorical-initializer-kl,throw-initializer-anchor,
power-head,categorical-initializer-kl,power-initializer-anchor,
power-head,move-initializer-anchor,throw-initializer-anchor,
power-head,move-initializer-anchor,power-initializer-anchor,
power-head,throw-initializer-anchor,power-initializer-anchor,
controller-extension,ppo-actor,critic-value,
controller-extension,ppo-actor,action-bc,
controller-extension,ppo-actor,move-target-bc,
controller-extension,ppo-actor,throw-target-bc,
controller-extension,ppo-actor,power-bc,
controller-extension,ppo-actor,categorical-initializer-kl,
controller-extension,ppo-actor,move-initializer-anchor,
controller-extension,ppo-actor,throw-initializer-anchor,
controller-extension,ppo-actor,power-initializer-anchor,
controller-extension,critic-value,action-bc,
controller-extension,critic-value,move-target-bc,
controller-extension,critic-value,throw-target-bc,
controller-extension,critic-value,power-bc,
controller-extension,critic-value,categorical-initializer-kl,
